task,metric,level,prune_ratio,primary_score,baseline_score,score_drop,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,eval_loss,eval_matthews_correlation,eval_accuracy,eval_f1
cola,AE,head,0.1,0.0,0.5288802917060816,0.5288802917060816,10.9548,95.21,1.552,2.0,,,,
cola,AE,head,0.3,0.0,0.5288802917060816,0.5288802917060816,10.9473,95.274,1.553,2.0,,,,
cola,AE,head,0.5,0.0,0.5288802917060816,0.5288802917060816,10.9558,95.2,1.552,2.0,,,,
cola,AE,block,0.1,0.5652516382961122,0.5288802917060816,-0.03637134659003061,9.9464,104.862,1.709,2.0,0.5530944466590881,0.5652516382961122,,
cola,AE,block,0.3,0.5523181756655187,0.5288802917060816,-0.023437883959437023,8.1451,128.052,2.087,2.0,0.5474252104759216,0.5523181756655187,,
cola,AE,block,0.5,0.42720203489114567,0.5288802917060816,0.10167825681493597,5.4744,190.522,3.105,2.0,0.5438018441200256,0.42720203489114567,,
mrpc,AE,head,0.1,0.0,0.8843537414965986,0.8843537414965986,14.4996,28.139,0.483,2.0,,,,
mrpc,AE,head,0.3,0.0,0.8843537414965986,0.8843537414965986,14.4999,28.138,0.483,2.0,,,,
mrpc,AE,head,0.5,0.0,0.8843537414965986,0.8843537414965986,14.5432,28.054,0.481,2.0,,,,
mrpc,AE,block,0.1,0.8877374784110535,0.8843537414965986,-0.0033837369144549267,13.0051,31.372,0.538,2.0,0.41783666610717773,,0.8406862745098039,0.8877374784110535
mrpc,AE,block,0.3,0.8603531300160514,0.8843537414965986,0.024000611480547218,10.6582,38.28,0.657,2.0,0.557681679725647,,0.7867647058823529,0.8603531300160514
mrpc,AE,block,0.5,0.81875,0.8843537414965986,0.06560374149659864,7.194,56.714,0.973,2.0,0.591157853603363,,0.7156862745098039,0.81875
